idx,pair,direction,entries,entry_avg,targets,stop_loss,stop_loss_percent,rr_first_target,skipped,warnings
1,SATS/USDT,LONG,"[4.04e-08, 4.2e-08]",4.12e-08,"[4.22e-08, 4.28e-08, 4.3e-08, 4.36e-08, 4.38e-08, 4.43e-08]",3.94e-08,4.35,0.5664,False,[]
2,API3/USDT,LONG,[2.796],2.796,"[2.85, 2.88, 2.94, 3.1]",2.61,,0.2903,False,[]
3,ANKR/USDT,LONG,[],,[],,10.0,,False,[]
4,DOT/USDT,LONG,"[3.83, 3.84]",3.835,"[3.86, 3.88, 3.92, 3.96, 4.04, 4.36, 4.71]",3.54,,0.0847,False,[]
5,LINK/USDT,SHORT,[],,[],6.34,,,False,[]
6,DRIFT/USDT,SHORT,"[0.5418, 0.55]",0.5459,"[0.53, 0.52, 0.51, 0.495]",0.564,,2.8122,False,[]
7,DOT/USDT,LONG,"[3.797, 3.786]",3.7915,"[3.815985, 3.83497, 3.87294, 3.91091, 3.94888, 3.98685]",3.49324,,0.0821,False,[]
8,CAKE/USDT,LONG,[2.88],2.88,[],2.73,,,False,[]
9,AVAX/USDT,LONG,[23.91],23.91,"[24.08, 24.22, 24.51, 27.74]",22.48,,0.1189,False,[]
10,AVAX/USDT,LONG,[],,[],22.4754,,,False,[]
11,SKATE/USDT,LONG,[0.044],0.044,[],0.04141,,,False,[]
12,JUP/USDT,LONG,[0.5639],0.5639,"[0.57, 0.58, 0.595, 0.625]",0.5564,,0.8133,False,[]
13,QKC/USDT,LONG,"[0.0085, 0.00865]",0.008575,"[0.0088, 0.00899, 0.0099]",0.00825,,0.6923,False,[]
14,OM/USDT,LONG,"[2611.0, 2430.0]",2520.5,"[2877.0, 3273.0, 3630.0]",2330.0,,1.8714,False,[]
15,ADA/USDT,SHORT,[],,[],0.8182,,,False,[]
16,ADA/USDT,LONG,[0.782],0.782,[],0.749,,,False,[]
17,ADA/USDT,LONG,[0.782],0.782,[],0.749,,,False,[]
18,BTC/USDT,LONG,"[116235.3, 116823.0]",116529.15,[],115632.0,,,False,[]
19,AVAX/USDT,LONG,[],,[],22.4754,,,False,[]
20,MEMEFI/USDT,LONG,"[0.0012784, 0.001318]",0.0012982,"[0.0013245, 0.0013638, 0.0014032, 0.0014425, 0.0014818, 0.0016]",0.00123329,5.0,0.4052,False,[]
21,QKC/USDT,LONG,[0.0085],0.0085,"[0.0088, 0.00899, 0.0099, 0.011, 0.0124]",4.0,,0.0001,False,"[""Stop-loss is not below entry for LONG.""]"
22,QKC/USDT,LONG,"[0.0085, 0.00865]",0.008575,[],4.0,,,False,"[""Stop-loss is not below entry for LONG.""]"
23,TRX/USDT,LONG,[0.32823],0.32823,[0.32823],0.3227,,0.0,False,[]
24,KERNEL/USDT,LONG,"[0.143, 0.145]",0.144,"[0.159, 0.1825, 0.204, 0.2278, 0.248, 0.2634, 0.2796, 0.2987]",0.1215,,0.6667,False,[]
25,,,[],,[],,,,False,"[""PARSE_FAILED""]"
26,BTCDOM/USDT,LONG,"[4335.7, 4270.6]",4303.15,[],4225.6933,1.8,,False,[]
27,AUCTION/USDT,SHORT,[],,"[9.72, 9.37, 8.73, 7.72, 6.45, 4.03]",11.16,,,False,[]
28,VINE/USDT,LONG,[0.1178],0.1178,"[0.1201, 0.1213, 0.1225, 0.1237, 0.16492, 0.18848, 0.21204, 0.2356]",0.11191,5.0,0.3905,False,[]
29,VOXEL/USDT,LONG,[],,[],0.03,,,False,[]
30,BNB/USDT,LONG,"[765.6, 760.6]",763.1,"[769.6, 773.6, 777.6]",757.65,,1.1927,False,[]
31,BTC/USDT,LONG,[118377.0],118377.0,[118377.0],116241.0,,0.0,False,[]
32,,,[],,[],,,,False,"[""PARSE_FAILED""]"
33,BTC/USDT,LONG,"[117938.6, 118000.0]",117969.3,"[118400.0, 119150.0, 121600.0]",116900.0,,0.4028,False,[]
34,AI/USDT,LONG,[0.135],0.135,"[0.138, 0.141, 0.148, 0.161]",0.13167,,0.9009,False,[]
35,ASR/USDT,SHORT,[5.585],5.585,[],5.682179,1.74,,False,[]
36,OMNI/USDT,SHORT,"[5.66, 5.61]",5.635,[],5.95,,,False,[]
37,,,[],,[],,,,False,"[""PARSE_FAILED""]"
38,BNB/USDT,LONG,[693.7],693.7,"[704.0, 720.0, 745.0, 768.0]",657.0,,0.2807,False,[]
39,DIA/USD,SHORT,[],,[],11.0,,,False,[]
40,DOGE/BTC,LONG,"[1.6e-06, 1.9e-06]",1.75e-06,[],1.5e-06,,,False,[]
41,CELO/USDT,LONG,"[0.3021, 0.3013]",0.3017,"[0.30361, 0.305121, 0.308142, 0.311162, 0.314183, 0.317204, 0.320225, 0.323246]",0.277931,,0.0804,False,[]
42,SEI/USDT,LONG,[0.317],0.317,"[0.321, 0.324, 0.34, 0.385]",0.313,,1.0,False,[]
43,RESOLV/USDT,LONG,"[0.189, 0.2025, 0.2023]",0.1979333333,"[0.212, 0.223, 0.243]",0.18,,0.7844,False,[]
44,SKATE/USDT,LONG,"[0.0434, 0.0433]",0.04335,"[0.0441, 0.0445, 0.0452, 0.0456, 0.0464, 0.0473]",0.0417,,0.4545,False,[]
45,SPK/USDT,LONG,[0.09335],0.09335,"[0.0942835, 0.0948]",0.0886825,5.0,0.2,False,[]
46,,,[],,[],,,,False,"[""PARSE_FAILED""]"
47,,,[],,[],,,,False,"[""PARSE_FAILED""]"
48,QNT/USDT,LONG,"[115.38, 118.95]",117.165,"[119.54, 123.09, 126.64, 130.19, 133.74, 144.44, 156.0]",110.62,,0.3629,False,[]
49,,,[],,[],,,,False,"[""PARSE_FAILED""]"
50,LTC/USDT,SHORT,"[107.3, 111.8]",109.55,"[103.2, 98.9, 94.6, 90.3]",115.036,,3.5089,False,[]
51,ADA/USDT,LONG,[0.868],0.868,"[1.2, 1.4, 1.75, 1.9]",0.7905,,4.2839,False,[]
52,DIA/USDT,SHORT,[],,[],11.0,,,False,[]
53,DYDX/USDT,SHORT,"[0.565, 0.549]",0.557,"[0.546, 0.535, 0.524, 0.513, 0.502, 0.491, 0.48, 0.468]",0.58743,,2.9247,False,[]
54,1000RATS/USDT,LONG,"[0.0187695, 0.01935]",0.01905975,"[0.0194457, 0.0198308, 0.0202159, 0.0206009, 0.020986, 0.0213711, 0.0217561, 0.0221412]",0.0179955,,0.3626,False,[]
55,JASMY/USDT,SHORT,[],,[],,,,False,[]
56,AGLD/USDT,LONG,"[1.27, 1.23]",1.25,"[1.31, 1.36, 1.43]",1.18,,0.8571,False,[]
57,APT/USDT,LONG,[5.128],5.128,"[5.17525, 5.2225, 5.317, 5.506, 5.695]",4.939,,0.25,False,[]
58,XCN/USDT,LONG,[335.0],335.0,"[340.0, 347.0, 375.0, 450.0]",275.0,,0.0833,False,[]
